model_name,unit_no,game,medals,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,1021,6104,262,26,8,1/179.5,1/234.8,1/763.0
マイジャグラーV,1022,4071,-238,13,14,1/150.8,1/313.2,1/290.8
マイジャグラーV,1023,1930,-762,5,3,1/241.2,1/386.0,1/643.3
マイジャグラーV,1024,4668,524,22,7,1/161.0,1/212.2,1/666.9
マイジャグラーV,1025,6850,-1406,18,25,1/159.3,1/380.6,1/274.0
マイジャグラーV,1026,4008,-974,13,10,1/174.3,1/308.3,1/400.8
マイジャグラーV,1027,8237,1897,40,20,1/137.3,1/205.9,1/411.9
マイジャグラーV,1028,2507,-1653,5,1,1/417.8,1/501.4,1/2507.0
マイジャグラーV,1029,3526,-735,11,7,1/195.9,1/320.5,1/503.7
マイジャグラーV,1030,4948,-1100,14,12,1/190.3,1/353.4,1/412.3
マイジャグラーV,1031,6485,441,31,14,1/144.1,1/209.2,1/463.2
マイジャグラーV,1032,3680,374,19,4,1/160.0,1/193.7,1/920.0
マイジャグラーV,1033,5899,-221,21,17,1/155.2,1/280.9,1/347.0
マイジャグラーV,1034,5774,515,23,16,1/148.1,1/251.0,1/360.9
マイジャグラーV,1035,4228,-815,14,9,1/183.8,1/302.0,1/469.8
マイジャグラーV,1036,4329,-691,14,10,1/180.4,1/309.2,1/432.9
マイジャグラーV,1037,5445,771,26,10,1/151.2,1/209.4,1/544.5
マイジャグラーV,1038,7273,1512,35,18,1/137.2,1/207.8,1/404.1
マイジャグラーV,1039,5831,41,24,12,1/162.0,1/243.0,1/485.9
マイジャグラーV,1040,7260,-1147,21,28,1/148.2,1/345.7,1/259.3
マイジャグラーV,1041,4415,-685,13,14,1/163.5,1/339.6,1/315.4
マイジャグラーV,1042,7437,1618,34,22,1/132.8,1/218.7,1/338.0
マイジャグラーV,1043,3567,-1359,8,9,1/209.8,1/445.9,1/396.3
マイジャグラーV,1044,2080,-638,6,2,1/260.0,1/346.7,1/1040.0
マイジャグラーV,1045,6737,-1171,24,14,1/177.3,1/280.7,1/481.2
マイジャグラーV,1046,3753,-324,13,8,1/178.7,1/288.7,1/469.1
マイジャグラーV,1047,5690,68,22,18,1/142.2,1/258.6,1/316.1
マイジャグラーV,1048,4058,15,15,14,1/139.9,1/270.5,1/289.9
マイジャグラーV,1049,7323,1088,32,19,1/143.6,1/228.8,1/385.4
マイジャグラーV,1050,6112,-406,22,17,1/156.7,1/277.8,1/359.5
マイジャグラーV,1069,8206,115,32,21,1/154.8,1/256.4,1/390.8
マイジャグラーV,1070,1662,-879,4,2,1/277.0,1/415.5,1/831.0
マイジャグラーV,1071,6987,1171,30,25,1/127.0,1/232.9,1/279.5
マイジャグラーV,1072,5962,626,24,19,1/138.7,1/248.4,1/313.8
マイジャグラーV,1073,7382,350,29,18,1/157.1,1/254.6,1/410.1
マイジャグラーV,1074,6648,338,29,15,1/151.1,1/229.2,1/443.2
マイジャグラーV,1075,2367,-844,7,5,1/197.2,1/338.1,1/473.4
マイジャグラーV,1076,7623,2179,33,28,1/125.0,1/231.0,1/272.2
マイジャグラーV,1077,8030,465,36,17,1/151.5,1/223.1,1/472.4
マイジャグラーV,1078,5334,-1194,18,12,1/177.8,1/296.3,1/444.5
マイジャグラーV,1079,7030,29,25,20,1/156.2,1/281.2,1/351.5
マイジャグラーV,1080,6689,1297,32,16,1/139.4,1/209.0,1/418.1
マイジャグラーV,1081,4499,135,19,8,1/166.6,1/236.8,1/562.4
マイジャグラーV,1082,8376,1403,37,26,1/133.0,1/226.4,1/322.2
マイジャグラーV,1083,2737,-421,11,1,1/228.1,1/248.8,1/2737.0
マイジャグラーV,1084,4539,-644,15,11,1/174.6,1/302.6,1/412.6
マイジャグラーV,1085,5818,-300,24,13,1/157.2,1/242.4,1/447.5
マイジャグラーV,1086,9431,503,32,35,1/140.8,1/294.7,1/269.5
マイジャグラーV,1087,1960,-994,5,1,1/326.7,1/392.0,1/1960.0
マイジャグラーV,1088,7638,856,31,23,1/141.4,1/246.4,1/332.1
マイジャグラーV,1089,2929,394,14,8,1/133.1,1/209.2,1/366.1
マイジャグラーV,1090,8247,1756,37,24,1/135.2,1/222.9,1/343.6
マイジャグラーV,1091,2736,-709,8,5,1/210.5,1/342.0,1/547.2
マイジャグラーV,1092,5640,-406,21,12,1/170.9,1/268.6,1/470.0
マイジャグラーV,1093,4986,-1300,14,11,1/199.4,1/356.1,1/453.3
マイジャグラーV,1094,6518,1512,29,23,1/125.3,1/224.8,1/283.4
マイジャグラーV,1095,3242,-368,10,8,1/180.1,1/324.2,1/405.2
マイジャグラーV,1096,6889,-171,25,19,1/156.6,1/275.6,1/362.6
マイジャグラーV,1097,6395,-315,23,19,1/152.3,1/278.0,1/336.6
マイジャグラーV,1098,6055,-821,17,20,1/163.6,1/356.2,1/302.8
マイジャグラーV,1099,2877,-1112,7,6,1/221.3,1/411.0,1/479.5
アイムジャグラーEX-TP,1100,5880,1853,29,18,1/125.1,1/202.8,1/326.7
アイムジャグラーEX-TP,1101,1070,-321,4,0,1/267.5,1/267.5,1/0.0
アイムジャグラーEX-TP,1102,3722,735,18,8,1/143.2,1/206.8,1/465.2
アイムジャグラーEX-TP,1103,4334,771,18,14,1/135.4,1/240.8,1/309.6
アイムジャグラーEX-TP,1104,5443,2021,28,17,1/121.0,1/194.4,1/320.2
アイムジャグラーEX-TP,1105,1540,468,9,1,1/154.0,1/171.1,1/1540.0
アイムジャグラーEX-TP,1106,1749,74,9,0,1/194.3,1/194.3,1/0.0
アイムジャグラーEX-TP,1123,7742,315,25,31,1/138.2,1/309.7,1/249.7
アイムジャグラーEX-TP,1124,2036,-1182,5,2,1/290.9,1/407.2,1/1018.0
アイムジャグラーEX-TP,1125,1103,-574,3,1,1/275.8,1/367.7,1/1103.0
アイムジャグラーEX-TP,1126,2679,829,15,7,1/121.8,1/178.6,1/382.7
アイムジャグラーEX-TP,1127,3238,-368,11,10,1/154.2,1/294.4,1/323.8
アイムジャグラーEX-TP,1128,4855,-653,14,14,1/173.4,1/346.8,1/346.8
アイムジャグラーEX-TP,1129,4143,-126,16,7,1/180.1,1/258.9,1/591.9
アイムジャグラーEX-TP,1130,4098,-138,17,6,1/178.2,1/241.1,1/683.0
アイムジャグラーEX-TP,1131,503,-303,1,0,1/503.0,1/503.0,1/0.0
アイムジャグラーEX-TP,1132,557,-450,1,1,1/278.5,1/557.0,1/557.0
アイムジャグラーEX-TP,1133,4891,-79,18,16,1/143.9,1/271.7,1/305.7
アイムジャグラーEX-TP,1134,6485,650,27,18,1/144.1,1/240.2,1/360.3
アイムジャグラーEX-TP,1135,822,-403,2,0,1/411.0,1/411.0,1/0.0
アイムジャグラーEX-TP,1136,1427,-903,3,1,1/356.8,1/475.7,1/1427.0
アイムジャグラーEX-TP,1151,1793,-356,6,5,1/163.0,1/298.8,1/358.6
アイムジャグラーEX-TP,1152,4924,156,18,13,1/158.8,1/273.6,1/378.8
アイムジャグラーEX-TP,1153,2065,-368,6,7,1/158.8,1/344.2,1/295.0
アイムジャグラーEX-TP,1154,4715,1809,24,17,1/115.0,1/196.5,1/277.4
アイムジャグラーEX-TP,1155,3407,-156,13,10,1/148.1,1/262.1,1/340.7
ゴーゴージャグラー3,1001,3781,-303,14,13,1/140.0,1/270.1,1/290.8
ゴーゴージャグラー3,1002,6987,3,27,22,1/142.6,1/258.8,1/317.6
ゴーゴージャグラー3,1003,1870,-726,4,7,1/170.0,1/467.5,1/267.1
ゴーゴージャグラー3,1004,7252,735,29,35,1/113.3,1/250.1,1/207.2
ゴーゴージャグラー3,1005,1236,-409,5,1,1/206.0,1/247.2,1/1236.0
ゴーゴージャグラー3,1006,3005,-468,11,8,1/158.2,1/273.2,1/375.6
ゴーゴージャグラー3,1007,746,-532,1,0,1/746.0,1/746.0,1/0.0
ゴーゴージャグラー3,1008,4331,579,18,17,1/123.7,1/240.6,1/254.8
ゴーゴージャグラー3,1009,3791,594,18,12,1/126.4,1/210.6,1/315.9
ゴーゴージャグラー3,1010,6390,391,28,21,1/130.4,1/228.2,1/304.3
ゴーゴージャグラー3,1011,3613,982,18,9,1/133.8,1/200.7,1/401.4
ゴーゴージャグラー3,1012,3130,426,14,10,1/130.4,1/223.6,1/313.0
ゴーゴージャグラー3,1013,5650,1968,29,23,1/108.7,1/194.8,1/245.7
ゴーゴージャグラー3,1014,4427,-1535,10,16,1/170.3,1/442.7,1/276.7
ゴーゴージャグラー3,1015,3567,-415,13,9,1/162.1,1/274.4,1/396.3
ゴーゴージャグラー3,1016,2823,-126,11,8,1/148.6,1/256.6,1/352.9
ゴーゴージャグラー3,1017,3836,-550,14,9,1/166.8,1/274.0,1/426.2
ゴーゴージャグラー3,1018,1394,-285,4,5,1/154.9,1/348.5,1/278.8
ゴーゴージャグラー3,1019,7175,1041,31,25,1/128.1,1/231.5,1/287.0
ゴーゴージャグラー3,1020,7403,-1465,23,29,1/142.4,1/321.9,1/255.3
ディスクアップ ULTRAREMIX,2069,3115,1394,15,5,1/155.8,1/207.7,1/623.0
ディスクアップ ULTRAREMIX,2070,1772,874,8,3,1/161.1,1/221.5,1/590.7
ディスクアップ ULTRAREMIX,2071,1375,-168,5,3,1/171.9,1/275.0,1/458.3
ディスクアップ ULTRAREMIX,2072,2633,-900,7,2,1/292.6,1/376.1,1/1316.5
ディスクアップ ULTRAREMIX,2073,2225,-303,7,3,1/222.5,1/317.9,1/741.7
ディスクアップ ULTRAREMIX,2074,6070,1862,28,6,1/178.5,1/216.8,1/1011.7
ディスクアップ ULTRAREMIX,2075,7172,3259,32,15,1/152.6,1/224.1,1/478.1
ディスクアップ ULTRAREMIX,2242,2668,488,10,2,1/222.3,1/266.8,1/1334.0
ディスクアップ ULTRAREMIX,2243,4410,1791,21,4,1/176.4,1/210.0,1/1102.5
ディスクアップ ULTRAREMIX,2244,1107,-891,2,1,1/369.0,1/553.5,1/1107.0
ディスクアップ ULTRAREMIX,2245,3689,-218,12,5,1/217.0,1/307.4,1/737.8
ディスクアップ ULTRAREMIX,2246,688,-21,3,1,1/172.0,1/229.3,1/688.0
ディスクアップ ULTRAREMIX,2247,4066,-2285,10,4,1/290.4,1/406.6,1/1016.5
ディスクアップ ULTRAREMIX,2248,1805,-721,5,4,1/200.6,1/361.0,1/451.2
ディスクアップ ULTRAREMIX,2249,498,-321,1,1,1/249.0,1/498.0,1/498.0
ディスクアップ ULTRAREMIX,2250,2856,374,10,7,1/168.0,1/285.6,1/408.0
ディスクアップ ULTRAREMIX,2251,732,-697,1,0,1/732.0,1/732.0,1/0.0
ディスクアップ ULTRAREMIX,2252,1953,85,7,3,1/195.3,1/279.0,1/651.0
ディスクアップ ULTRAREMIX,2253,1299,-309,4,3,1/185.6,1/324.8,1/433.0
ディスクアップ ULTRAREMIX,2254,5702,385,20,12,1/178.2,1/285.1,1/475.2
モンキーターンV,2121,990,-638,7,3,1/99.0,1/141.4,1/330.0
モンキーターンV,2122,2838,432,25,7,1/88.7,1/113.5,1/405.4
モンキーターンV,2123,2900,1191,38,12,1/58.0,1/76.3,1/241.7
モンキーターンV,2124,824,-832,4,2,1/137.3,1/206.0,1/412.0
モンキーターンV,2135,1588,-724,13,5,1/88.2,1/122.2,1/317.6
モンキーターンV,2136,1201,-450,12,4,1/75.1,1/100.1,1/300.2
モンキーターンV,2137,1629,-544,16,7,1/70.8,1/101.8,1/232.7
モンキーターンV,2138,827,-109,6,3,1/91.9,1/137.8,1/275.7
モンキーターンV,2139,2023,-426,17,7,1/84.3,1/119.0,1/289.0
モンキーターンV,2140,1404,-1324,6,5,1/127.6,1/234.0,1/280.8
モンキーターンV,2141,431,497,6,1,1/61.6,1/71.8,1/431.0
モンキーターンV,2142,4861,4838,63,18,1/60.0,1/77.2,1/270.1
モンキーターンV,2143,3618,-994,28,10,1/95.2,1/129.2,1/361.8
モンキーターンV,2144,748,-256,7,3,1/74.8,1/106.9,1/249.3
モンキーターンV,2145,1253,-603,8,4,1/104.4,1/156.6,1/313.2
モンキーターンV,2146,2543,865,28,8,1/70.6,1/90.8,1/317.9
モンキーターンV,2147,930,-479,9,3,1/77.5,1/103.3,1/310.0
モンキーターンV,2148,2794,-653,27,8,1/79.8,1/103.5,1/349.2
モンキーターンV,2149,1053,-1476,2,2,1/263.2,1/526.5,1/526.5
モンキーターンV,2150,1974,-488,17,7,1/82.2,1/116.1,1/282.0
ファンキージャグラー2,1051,6237,-9,25,13,1/164.1,1/249.5,1/479.8
ファンキージャグラー2,1052,1469,-468,4,3,1/209.9,1/367.2,1/489.7
ファンキージャグラー2,1053,5113,-226,17,16,1/154.9,1/300.8,1/319.6
ファンキージャグラー2,1054,725,-697,1,0,1/725.0,1/725.0,1/0.0
ファンキージャグラー2,1055,3210,-256,11,9,1/160.5,1/291.8,1/356.7
ファンキージャグラー2,1056,3052,-76,12,6,1/169.6,1/254.3,1/508.7
ファンキージャグラー2,1057,4752,-209,16,16,1/148.5,1/297.0,1/297.0
ファンキージャグラー2,1058,2841,144,11,11,1/129.1,1/258.3,1/258.3
ファンキージャグラー2,1059,2314,-668,5,8,1/178.0,1/462.8,1/289.2
ファンキージャグラー2,1060,2297,232,11,3,1/164.1,1/208.8,1/765.7
ファンキージャグラー2,1061,6215,1147,26,23,1/126.8,1/239.0,1/270.2
ファンキージャグラー2,1062,1966,-591,5,4,1/218.4,1/393.2,1/491.5
ファンキージャグラー2,1063,1331,-421,4,2,1/221.8,1/332.8,1/665.5
ファンキージャグラー2,1064,1879,-862,4,5,1/208.8,1/469.8,1/375.8
ファンキージャグラー2,1065,4519,-1665,13,5,1/251.1,1/347.6,1/903.8
ファンキージャグラー2,1066,369,-538,0,0,1/0.0,1/0.0,1/0.0
ファンキージャグラー2,1067,8021,-162,23,35,1/138.3,1/348.7,1/229.2
からくりサーカス,2173,235,-315,0,1,1/235.0,1/0.0,1/235.0
からくりサーカス,2174,1113,-356,12,3,1/74.2,1/92.8,1/371.0
からくりサーカス,2175,65,-91,0,0,1/0.0,1/0.0,1/0.0
からくりサーカス,2176,307,-479,0,1,1/307.0,1/0.0,1/307.0
からくりサーカス,2177,859,-215,9,1,1/85.9,1/95.4,1/859.0
からくりサーカス,2178,1781,-1676,10,4,1/127.2,1/178.1,1/445.2
からくりサーカス,2179,197,-274,0,0,1/0.0,1/0.0,1/0.0
からくりサーカス,2180,2715,-2003,22,8,1/90.5,1/123.4,1/339.4
からくりサーカス,2195,2467,1385,41,9,1/49.3,1/60.2,1/274.1
からくりサーカス,2196,124,32,2,1,1/41.3,1/62.0,1/124.0
からくりサーカス,2197,87,-132,0,0,1/0.0,1/0.0,1/0.0
からくりサーカス,2198,2102,1791,37,10,1/44.7,1/56.8,1/210.2
からくりサーカス,2199,883,-768,7,3,1/88.3,1/126.1,1/294.3
からくりサーカス,2200,67,-97,0,0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,2207,2285,-256,23,5,1/81.6,1/99.3,1/457.0
スマスロ北斗の拳,2208,1366,3779,44,2,1/29.7,1/31.0,1/683.0
スマスロ北斗の拳,2209,3028,5524,77,10,1/34.8,1/39.3,1/302.8
スマスロ北斗の拳,2210,463,-415,1,1,1/231.5,1/463.0,1/463.0
スマスロ北斗の拳,2211,1038,359,14,4,1/57.7,1/74.1,1/259.5
スマスロ北斗の拳,2212,4634,-2356,27,11,1/121.9,1/171.6,1/421.3
スマスロ北斗の拳,2213,1706,-1547,7,4,1/155.1,1/243.7,1/426.5
スマスロ北斗の拳,2214,2759,-1441,16,4,1/137.9,1/172.4,1/689.8
スマスロ北斗の拳,2215,678,-497,3,2,1/135.6,1/226.0,1/339.0
スマスロ北斗の拳,2216,999,-556,7,4,1/90.8,1/142.7,1/249.8
スマスロ北斗の拳,2225,1263,197,14,4,1/70.2,1/90.2,1/315.8
スマスロ北斗の拳,2226,1960,-921,13,5,1/108.9,1/150.8,1/392.0
スマスロ北斗の拳,2227,4120,-2812,24,8,1/128.8,1/171.7,1/515.0
スマスロ北斗の拳,2228,1261,-474,10,2,1/105.1,1/126.1,1/630.5
革命機ヴァルヴレイヴ,2201,254,-397,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2202,70,-115,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2203,2,0,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2204,2,-3,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2205,2541,-2603,4,1,1/508.2,1/635.2,1/2541.0
革命機ヴァルヴレイヴ,2206,0,0,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2217,0,0,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2218,2,-3,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2219,1,0,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2220,1,0,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2221,4,-3,0,0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,2222,4,-3,0,0,1/0.0,1/0.0,1/0.0
