,,5more,5more,5more,5more,5more,5more,5more,5more,5more,5more
date,,2025-06-05 00:00:00,2025-06-01 00:00:00,2025-05-31 00:00:00,2025-05-25 00:00:00,2025-05-21 00:00:00,2025-05-15 00:00:00,2025-05-11 00:00:00,2025-05-05 00:00:00,2025-05-01 00:00:00,2025-04-25 00:00:00
model_name,unit_no,,,,,,,,,,
アイムジャグラーEX-TP,1100,0.0,0.8300000000000001,0.0,0.01,0.0,0.30000000000000004,0.02,0.92,0.01,0.22
アイムジャグラーEX-TP,1101,0.42,0.55,0.0,0.0,0.0,0.0,0.94,0.01,0.0,0.0
アイムジャグラーEX-TP,1102,0.0,0.04,0.33999999999999997,0.28,0.0,0.08,0.99,0.0,0.02,0.0
アイムジャグラーEX-TP,1103,0.0,0.8400000000000001,0.45,0.0,0.37,0.0,0.15,0.06,0.1,0.24
アイムジャグラーEX-TP,1104,0.0,0.2,0.0,0.19,0.0,0.0,0.75,0.05,0.8500000000000001,0.0
アイムジャグラーEX-TP,1105,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.9099999999999999,0.02,0.6799999999999999
アイムジャグラーEX-TP,1106,0.0,0.01,0.03,0.0,0.0,0.0,0.7,0.0,0.31,0.05
アイムジャグラーEX-TP,1123,0.16,0.08,0.0,0.5800000000000001,0.0,0.0,0.04,0.13,0.21,0.32
アイムジャグラーEX-TP,1124,0.0,0.88,0.32,0.01,0.0,0.0,0.36000000000000004,0.25,0.55,0.07
アイムジャグラーEX-TP,1125,0.73,0.0,0.0,0.0,0.44000000000000006,0.09999999999999999,0.11000000000000001,0.2,0.41000000000000003,0.0
アイムジャグラーEX-TP,1126,0.8599999999999999,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.01,0.25
アイムジャグラーEX-TP,1127,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,0.13,0.060000000000000005,0.42000000000000004,0.46
アイムジャグラーEX-TP,1128,0.0,0.27,0.44,0.0,0.64,0.08,0.0,0.24000000000000002,0.0,0.0
アイムジャグラーEX-TP,1129,0.39,0.09,0.11,0.0,0.14,0.76,0.0,0.5800000000000001,0.01,0.7
アイムジャグラーEX-TP,1130,0.0,0.01,0.0,0.09000000000000001,0.0,0.12,0.01,0.01,0.05,1.0
アイムジャグラーEX-TP,1131,0.15,0.06,0.02,0.0,0.0,0.59,0.0,0.0,0.05,0.29000000000000004
アイムジャグラーEX-TP,1132,0.0,0.07,0.0,0.0,0.0,0.0,0.55,0.47000000000000003,0.0,0.0
アイムジャグラーEX-TP,1133,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.59
アイムジャグラーEX-TP,1134,0.0,0.9299999999999999,0.0,0.89,0.0,0.0,0.0,0.0,0.02,0.0
アイムジャグラーEX-TP,1135,0.0,0.37,0.0,0.9199999999999999,0.0,0.0,0.13,0.8500000000000001,0.0,0.0
アイムジャグラーEX-TP,1136,0.24,0.03,0.0,0.11,0.28,0.21000000000000002,0.05,0.11,0.26,0.19
アイムジャグラーEX-TP,1151,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.62
アイムジャグラーEX-TP,1152,0.0,0.74,0.42,0.14,0.0,0.0,0.0,0.23,0.0,0.0
アイムジャグラーEX-TP,1153,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.3
アイムジャグラーEX-TP,1154,0.0,0.0,0.0,0.0,1.0,0.22,0.0,0.03,0.0,0.0
アイムジャグラーEX-TP,1155,0.13,0.65,0.0,0.0,0.03,0.49,0.0,0.39,0.0,0.99
ウルトラミラクルジャグラー,1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,1116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ウルトラミラクルジャグラー,1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ゴーゴージャグラー3,1001,0.0,0.16,0.14,0.09000000000000001,0.14,0.22,0.060000000000000005,0.05,0.0,0.4
ゴーゴージャグラー3,1002,0.81,0.22999999999999998,0.0,0.0,0.0,0.83,0.23,0.35,0.9199999999999999,0.0
ゴーゴージャグラー3,1003,0.81,0.0,0.09000000000000001,0.0,0.49,0.0,1.0,0.28,0.6599999999999999,0.0
ゴーゴージャグラー3,1004,0.0,0.0,0.05,0.91,0.0,0.9400000000000001,0.08,0.25,0.0,0.0
ゴーゴージャグラー3,1005,0.0,0.0,0.58,0.12,0.0,0.04,0.0,0.01,0.29000000000000004,0.0
ゴーゴージャグラー3,1006,0.32,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.0
ゴーゴージャグラー3,1007,0.0,0.32,0.0,0.01,0.5,0.0,0.8200000000000001,0.5800000000000001,0.05,0.18
ゴーゴージャグラー3,1008,0.0,0.99,0.0,0.0,0.0,0.21,0.97,0.14,0.22,0.75
ゴーゴージャグラー3,1009,0.92,0.04,0.0,0.51,0.23,0.24000000000000002,0.0,0.0,0.69,0.0
ゴーゴージャグラー3,1010,0.0,0.02,0.0,0.0,0.9199999999999999,0.27,0.8200000000000001,0.13,0.34,0.0
ゴーゴージャグラー3,1011,0.0,0.01,0.0,0.22999999999999998,0.0,0.99,0.0,0.9700000000000001,0.32,0.39
ゴーゴージャグラー3,1012,0.5,0.08,0.0,0.0,0.63,0.0,0.18,0.0,0.55,0.0
ゴーゴージャグラー3,1013,0.0,0.38,0.0,0.0,0.45,0.01,0.08,0.0,0.18,0.1
ゴーゴージャグラー3,1014,0.0,0.81,0.07,0.97,0.0,0.0,0.37,0.15,0.43000000000000005,0.0
ゴーゴージャグラー3,1015,0.0,0.34,0.0,0.9099999999999999,0.0,0.14,0.5700000000000001,0.0,0.52,0.0
ゴーゴージャグラー3,1016,0.07,1.0,0.13,0.0,0.0,0.01,0.49,0.9700000000000001,0.0,0.7
ゴーゴージャグラー3,1017,0.0,0.38,0.0,0.42,0.53,0.28,0.0,0.28,0.54,0.0
ゴーゴージャグラー3,1018,0.2,0.13,0.0,0.12,0.0,0.8800000000000001,0.39,0.1,0.0,0.8500000000000001
ゴーゴージャグラー3,1019,0.0,0.43,0.21,0.0,0.54,0.37,0.25,0.58,0.0,0.0
ゴーゴージャグラー3,1020,0.0,0.6000000000000001,0.0,0.0,0.6200000000000001,0.0,0.14,0.060000000000000005,0.01,0.05
ジャグラーガールズ,1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ジャグラーガールズ,1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ジャグラーガールズ,1147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ジャグラーガールズ,1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ジャグラーガールズ,1149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ジャグラーガールズ,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ハッピージャグラーVIII,1137,0.0,0.21000000000000002,0.0,0.0,0.0,0.24,0.3,0.02,0.07,0.37
ハッピージャグラーVIII,1138,0.54,0.6799999999999999,0.0,0.0,0.0,0.0,0.26,0.04,0.0,0.0
ハッピージャグラーVIII,1139,0.0,0.15000000000000002,0.11,0.38,0.0,0.19,0.2,0.65,0.15,0.0
ハッピージャグラーVIII,1140,0.0,0.78,0.0,0.0,0.16999999999999998,0.0,0.0,0.01,0.12,0.11
ハッピージャグラーVIII,1141,0.0,0.55,0.0,0.1,0.0,0.0,0.71,0.0,0.4,0.0
ハッピージャグラーVIII,1142,0.0,0.05,0.0,0.0,0.0,0.6699999999999999,0.0,0.95,0.36,0.0
ハッピージャグラーVIII,1143,0.0,0.0,0.5700000000000001,0.0,0.05,0.0,0.01,0.14,0.0,0.15000000000000002
ファンキージャグラー2,1051,0.0,0.72,0.35,0.13,0.0,0.0,0.0,0.37,0.0,0.31
ファンキージャグラー2,1052,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.08,0.0,0.0
ファンキージャグラー2,1053,0.0,0.02,0.0,0.18,0.0,0.0,0.7,0.05,0.65,0.63
ファンキージャグラー2,1054,0.6200000000000001,0.08,0.0,0.79,0.0,0.45,0.48,0.0,0.0,0.0
ファンキージャグラー2,1055,0.0,0.03,0.59,0.22,0.0,0.0,0.0,0.0,0.16,0.0
ファンキージャグラー2,1056,0.01,0.52,0.0,0.0,0.0,0.03,0.52,0.03,0.66,0.0
ファンキージャグラー2,1057,0.0,0.0,0.0,0.16,0.01,0.0,0.26,0.16,0.39999999999999997,0.36
ファンキージャグラー2,1058,0.0,0.44,0.0,0.0,0.36,0.0,0.04,0.03,0.0,0.13999999999999999
ファンキージャグラー2,1059,0.0,0.64,0.0,0.36,0.13999999999999999,0.38,0.32,0.5800000000000001,0.0,0.01
ファンキージャグラー2,1060,0.0,0.02,0.77,0.31,0.0,0.28,0.42000000000000004,0.02,0.01,0.43
ファンキージャグラー2,1061,0.0,0.52,0.0,0.26,0.0,0.0,0.03,0.05,0.14,0.0
ファンキージャグラー2,1062,0.39,0.39,0.0,0.19,0.16,0.0,0.15,0.16,0.02,0.09999999999999999
ファンキージャグラー2,1063,0.0,0.16,0.0,0.22,0.33999999999999997,0.0,0.03,0.56,0.0,0.0
ファンキージャグラー2,1064,0.0,0.8799999999999999,0.0,0.0,0.0,0.0,0.02,0.46,0.08,0.0
ファンキージャグラー2,1065,0.0,0.01,0.27,0.0,0.0,0.0,0.8600000000000001,0.03,0.0,0.5
ファンキージャグラー2,1066,0.0,0.36,0.0,0.0,0.0,0.0,0.29000000000000004,0.13,0.74,0.09999999999999999
ファンキージャグラー2,1067,0.0,0.0,0.0,0.0,0.97,0.03,0.95,0.76,0.0,0.8700000000000001
マイジャグラーV,1021,0.05,0.03,0.03,0.01,0.08,0.15000000000000002,0.8,0.0,0.12,0.02
マイジャグラーV,1022,0.0,0.0,0.71,0.21000000000000002,0.79,0.0,0.01,0.0,0.98,0.0
マイジャグラーV,1023,0.09999999999999999,0.0,0.0,0.0,0.0,0.8600000000000001,0.0,0.9,0.44,0.09
マイジャグラーV,1024,0.0,0.79,0.33999999999999997,0.36,0.0,0.0,0.0,0.01,0.76,0.13
マイジャグラーV,1025,0.13,0.61,0.13,0.8999999999999999,0.0,0.02,0.44,0.0,0.61,0.02
マイジャグラーV,1026,0.79,0.0,0.15,0.38,0.0,0.0,0.19,0.01,0.51,0.03
マイジャグラーV,1027,0.0,0.02,0.0,0.17,0.14,0.8800000000000001,0.0,0.41,0.24,0.01
マイジャグラーV,1028,0.53,0.18000000000000002,0.09999999999999999,0.81,0.18000000000000002,0.6799999999999999,0.09999999999999999,0.02,0.15000000000000002,0.0
マイジャグラーV,1029,0.13,0.54,0.14,0.0,0.01,0.95,0.45999999999999996,0.0,0.41,0.0
マイジャグラーV,1030,0.0,0.71,0.63,0.8899999999999999,0.12,0.0,0.16,0.07,0.05,0.0
マイジャグラーV,1031,0.0,0.79,0.06,0.08,0.0,0.6,0.01,0.98,0.03,0.25
マイジャグラーV,1032,0.19,0.02,0.71,0.02,0.0,0.8600000000000001,0.09999999999999999,0.06,1.0,0.0
マイジャグラーV,1033,0.0,0.0,0.09999999999999999,0.18,0.0,0.0,0.26,0.02,0.02,0.0
マイジャグラーV,1034,0.0,0.8200000000000001,0.0,0.62,0.0,0.0,0.47000000000000003,0.71,0.99,0.0
マイジャグラーV,1035,0.56,0.8500000000000001,0.79,0.02,0.75,0.95,0.09999999999999999,0.13,0.0,0.13999999999999999
マイジャグラーV,1036,0.0,1.0,0.23,0.0,0.9299999999999999,0.0,0.01,0.8500000000000001,0.0,0.0
マイジャグラーV,1037,0.19999999999999998,0.35,0.24000000000000002,0.33,0.0,0.04,0.01,0.0,0.25,0.11
マイジャグラーV,1038,0.99,0.13999999999999999,0.01,0.59,0.11,0.5,0.01,0.0,0.56,0.32
マイジャグラーV,1039,0.22999999999999998,0.52,0.12,0.0,0.0,0.0,0.0,0.54,0.06,0.0
マイジャグラーV,1040,0.0,0.07,0.13,0.23,0.0,0.0,0.0,0.14,0.0,0.15
マイジャグラーV,1041,0.05,0.69,0.09999999999999999,0.19,0.1,0.01,0.25,0.73,0.5800000000000001,0.01
マイジャグラーV,1042,0.0,0.02,0.15,0.79,0.11,0.16,0.5900000000000001,0.1,0.12,0.04
マイジャグラーV,1043,0.22999999999999998,0.24,0.0,0.0,0.93,0.42000000000000004,0.43000000000000005,0.01,0.16,0.12
マイジャグラーV,1044,0.0,0.01,0.02,0.0,0.0,0.8,0.03,0.8,0.29,0.31
マイジャグラーV,1045,0.4,0.04,0.26,0.79,0.11,0.0,0.02,0.0,0.8200000000000001,0.16
マイジャグラーV,1046,0.0,0.03,0.0,0.96,0.02,0.27,0.16,0.06999999999999999,0.77,0.65
マイジャグラーV,1047,0.9700000000000001,0.36000000000000004,0.71,0.0,0.0,0.18000000000000002,0.91,0.02,0.1,0.0
マイジャグラーV,1048,0.43000000000000005,0.8899999999999999,0.0,0.48,0.0,0.01,0.89,0.04,0.02,0.26
マイジャグラーV,1049,0.0,0.01,0.06,0.12,0.64,0.12,0.47,0.12,0.02,0.25
マイジャグラーV,1050,0.0,0.53,0.23,0.02,0.37,0.05,0.55,0.0,0.41000000000000003,0.04
マイジャグラーV,1069,0.02,0.0,0.02,0.08,0.0,0.05,0.15000000000000002,0.21,0.23,0.57
マイジャグラーV,1070,0.02,0.71,0.0,0.0,0.01,0.0,0.72,0.17,0.19,0.19999999999999998
マイジャグラーV,1071,0.9700000000000001,0.15000000000000002,0.07,0.54,0.53,0.95,0.0,0.38,0.0,0.6699999999999999
マイジャグラーV,1072,0.0,0.6799999999999999,0.03,0.14,0.02,0.62,0.0,0.07,0.16999999999999998,0.05
マイジャグラーV,1073,0.42,0.0,0.0,0.0,0.11,0.0,0.04,0.81,0.31,0.37
マイジャグラーV,1074,0.64,0.5900000000000001,0.16,0.01,0.09,0.85,0.13,0.6499999999999999,0.0,0.06
マイジャグラーV,1075,0.0,0.6799999999999999,0.060000000000000005,0.02,0.0,0.06999999999999999,0.04,0.13,0.71,0.8
マイジャグラーV,1076,0.59,0.52,0.23,0.08,0.0,0.85,0.01,0.01,0.05,0.33999999999999997
マイジャグラーV,1077,0.01,0.0,0.01,0.06,1.0,0.02,0.03,0.06,0.06,0.65
マイジャグラーV,1078,0.95,0.02,0.02,0.48,0.0,0.04,0.6,0.27,0.74,0.0
マイジャグラーV,1079,0.3,0.79,0.45,0.0,0.0,1.0,1.0,0.17,1.0,0.02
マイジャグラーV,1080,0.0,0.31,0.61,0.01,0.5,0.4,0.81,0.29,0.62,0.76
マイジャグラーV,1081,0.02,0.04,0.0,0.95,0.03,0.98,0.01,0.05,0.03,0.09
マイジャグラーV,1082,0.0,0.94,0.91,0.0,0.93,0.25,0.47,0.57,0.31,0.72
マイジャグラーV,1083,0.0,0.95,0.0,0.73,0.02,0.0,0.6799999999999999,0.29000000000000004,0.0,0.0
マイジャグラーV,1084,0.01,0.25,0.53,0.0,0.0,0.02,0.0,0.0,0.02,0.31
マイジャグラーV,1085,0.09,0.12,0.27,0.19999999999999998,0.5900000000000001,0.02,0.0,0.73,0.02,0.01
マイジャグラーV,1086,0.0,0.21,0.0,0.7,0.0,0.8400000000000001,0.21,0.45999999999999996,0.11,0.11
マイジャグラーV,1087,0.37,0.0,0.0,0.25,0.26,0.05,0.08,0.98,0.35,0.41000000000000003
マイジャグラーV,1088,0.39,0.19999999999999998,0.64,0.08,0.0,0.73,0.94,0.8300000000000001,0.03,0.39
マイジャグラーV,1089,0.9,0.62,0.26,0.5,0.0,0.9199999999999999,0.24000000000000002,0.2,0.02,0.09999999999999999
マイジャグラーV,1090,0.65,0.91,0.0,0.0,0.0,0.9299999999999999,0.03,0.43000000000000005,0.01,0.0
マイジャグラーV,1091,0.12000000000000001,0.53,0.8,0.03,0.0,0.0,0.12,0.71,0.01,0.08
マイジャグラーV,1092,0.0,0.27,0.0,0.73,0.54,0.03,0.12,0.6499999999999999,0.02,0.8
マイジャグラーV,1093,0.0,0.0,0.58,0.02,0.0,0.0,1.0,0.0,0.78,0.33999999999999997
マイジャグラーV,1094,0.98,0.0,0.0,0.11,0.81,0.47000000000000003,0.35,0.28,0.13,0.0
マイジャグラーV,1095,0.72,0.11,0.74,0.77,0.0,0.27,0.0,0.38,0.0,0.0
マイジャグラーV,1096,0.0,0.9099999999999999,0.36,0.06999999999999999,0.61,0.0,0.0,0.01,0.8600000000000001,0.53
マイジャグラーV,1097,0.8300000000000001,0.38999999999999996,0.0,0.12,0.0,0.9,0.73,0.0,0.38,0.0
マイジャグラーV,1098,0.06,0.12,0.39,0.0,0.67,0.0,0.28,0.99,0.0,0.08
マイジャグラーV,1099,0.03,0.08,0.24000000000000002,0.09,0.0,0.0,0.72,0.52,0.21,0.22
ミスタージャグラー,1107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ミスタージャグラー,1108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ミスタージャグラー,1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ミスタージャグラー,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ミスタージャグラー,1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ミスタージャグラー,1112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ミスタージャグラー,1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
